Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,DESTILADOS,112 - TEQUILA PRATA DOSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,DESTILADOS,119 - WHISKY 12 ANOS DOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,DESTILADOS,120 - TEQUILA OURO DOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,CERVEJAS,127 - GARRAFA AMSTEL 600ML,1,2,2,0,0,0,0,0,1,0,0,19,0,2,1,2,0,0,1,0,0,2,0,3,9,8,1,2,0,3,0,59
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,CERVEJAS,128 - GARRAFA EISENBAHN 600ML,1,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,CERVEJAS,129 - GARRAFA HEINEKEN 600ML,2,12,5,6,3,0,12,2,14,1,26,9,2,11,3,6,4,5,5,0,4,0,12,0,9,2,8,10,0,4,0,177
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,CERVEJAS,130 - LONG NECK SOL PREMIUM,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,15
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,CERVEJAS,131 - LONG NECK HEINEKEN,3,10,1,0,6,5,3,0,3,2,3,2,0,1,1,3,0,5,7,1,0,4,0,3,1,1,3,1,0,3,3,75
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,CERVEJAS,132 - LONG NECK HEINEKEN SEM ALCOOL,0,0,0,2,3,0,0,3,2,0,0,4,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,20
