Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PORCOES,50 - MINI SALADA ESPETTO CARIOCA,0,1,0,1,0,0,0,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,1,2,1,0,0,0,1,1,0,15
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PORCOES,51 - PURE DE BATATA 200G,0,0,0,0,0,0,1,2,1,0,0,1,3,1,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,16
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PORCOES,52 - LEGUMES AO VAPOR 200G,0,0,0,2,0,0,4,0,1,0,10,1,1,1,1,0,1,1,3,1,0,0,0,0,2,0,0,0,0,0,0,29
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,TABUAS,54 - BABY BACK RIBS,0,0,1,0,1,0,0,3,0,1,1,0,2,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,14
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,TABUAS,55 - MIX TRADICIONAL,1,9,3,6,4,4,4,10,4,3,5,3,9,6,8,5,7,3,6,4,5,2,5,4,0,1,2,3,4,3,0,133
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,TABUAS,56 - TABUA 4 ESPETTOS,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,TABUAS,59 - TABUA MISTA,2,3,4,2,7,4,3,1,14,7,5,2,2,2,2,1,4,3,1,3,4,5,4,1,0,0,5,3,6,1,0,101
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PETISCOS,72 - BATATA FRITA PALITO 400G,2,14,9,0,11,4,8,7,4,12,3,3,3,3,8,2,2,3,5,9,9,5,20,2,0,3,2,3,6,2,0,164
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PETISCOS,73 - AIPIM FRITO COM PROVOLONE,1,4,2,1,3,0,3,2,2,4,0,3,1,1,3,1,1,3,0,2,9,1,2,2,0,0,1,0,0,3,0,55
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PORCOES,74 - AIPIM FRITO 200G,0,6,12,10,11,5,5,8,4,2,9,5,13,7,9,9,2,7,2,7,9,13,3,1,3,5,6,1,3,3,0,180
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PETISCOS,75 - BOLINHO DE FEIJOADA,2,1,1,1,3,0,1,3,2,1,0,2,1,0,0,3,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,27
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PETISCOS,80 - DADINHO DE TAPIOCA,1,4,4,3,2,1,1,2,3,2,0,4,1,0,1,2,2,2,0,3,6,1,2,1,0,1,0,0,2,1,0,52
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PETISCOS,81 - MIX DE PETISCO,8,3,5,2,3,5,3,1,4,4,1,2,4,4,2,5,6,1,5,7,2,3,3,2,0,1,3,1,4,4,0,98
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,SOBREMESA,82 - TORTA DE NUTELLA,0,1,0,0,5,2,0,2,2,0,0,3,0,0,3,0,1,1,0,1,4,3,0,2,0,0,0,0,0,2,0,32
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,SOBREMESA,83 - TACA DE CHURROS C/ DOCE DE LEITE,1,4,1,1,0,0,1,2,1,0,2,1,1,0,2,2,0,2,3,0,1,2,4,0,0,1,0,0,0,2,0,34
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,SOBREMESA,84 - ESPETTO DE MORANGO COM CHOCOLATE,0,0,1,0,3,0,0,0,0,0,2,0,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,14
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,SOBREMESA,86 - SORVETE CREME,0,0,1,0,4,0,0,3,3,0,1,1,0,2,6,0,2,1,1,0,0,0,2,2,3,2,0,1,0,0,0,35
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,SOBREMESA,87 - BROWNIE COM SORVETE,0,1,0,2,5,1,5,1,2,0,5,3,0,2,2,0,2,1,1,0,3,0,1,0,0,0,1,2,0,1,0,41
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,SOBREMESA,88 - CAFE EXPRESSO,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,2,0,2,0,0,0,0,0,14
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DRINKS ENERGIZANTES,89 - TROPICAL GIN,24,30,26,38,26,57,34,43,22,46,40,6,25,8,52,45,54,48,7,20,41,38,43,54,0,5,6,9,14,21,0,882
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,108 - VODKA NACIONAL,43,12,18,46,9,28,11,46,11,16,42,11,9,3,30,7,19,48,6,8,39,44,10,67,0,6,1,2,8,14,0,614
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,109 - VODKA NACIONAL DOSE,1,8,0,0,3,2,0,7,1,1,3,0,0,2,7,1,0,1,0,1,2,6,0,6,0,0,0,0,2,4,0,58
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,110 - GIN IMPORTADO,5,6,3,4,2,1,2,3,3,1,4,1,3,1,4,2,1,9,0,1,3,4,2,5,0,0,0,0,2,2,0,74
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,112 - TEQUILA PRATA DOSE,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11
